Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
MeetAnyway,Apr 2020,"Stuttgart, Baden-Wurttemberg,","Collaboration, Enterprise, Software,,",1-10,1,"$125,000",Pre-Seed,"Mar 22, 2021","$125,000",1,—,MeetAnyway provides a platform that specializes in online events.
payactive,"May 1, 2020","Dresden, Sachsen, Germany","FinTech, Payments, Social Impact,,",1-10,1,"€625,000",Pre-Seed,"Feb 1, 2021","€625,000",—,—,Sustainable Payment Platform
benchANT,"Jan 1, 2021","Ulm, Baden-Wurttemberg, Germany",SaaS,1-10,1,"€950,000",Pre-Seed,"Jan 1, 2021","€950,000",1,—,Cloud Database Benchmarking-as-a-Service Platform
Revideo,2023,"Babenhausen, Hessen, Germany","Internet, Software, Video",1-10,1,"$500,000",Pre-Seed,"Sep 6, 2023","$500,000",1,—,"Revideo is an open-source video editing framework with motion canvas, automates workflows, enables browser-based editing."
Greenable,2022,"Kaiserslautern, Rheinland-Pfalz,","Analytics, Environmental Consulting,,",1-10,1,"€490,000",Pre-Seed,"Jul 1, 2023","€490,000",—,1,"Greenable offers a SaaS platform for automated, standardized CO₂ footprint calculation at the product level."
Dive platform GMBH,Mar 2021,"Berlin, Berlin, Germany","Audio, Mobile Apps, Podcast, Social Media",11-50,2,"€700,000",Pre-Seed,"Apr 1, 2021","€500,000",1,9,Social audio for professionals
Flowsight,2023,"Augsburg, Bayern, Germany","Artificial Intelligence (AI), Brewing,",1-10,1,"$1,000,000",Pre-Seed,"Jun 26, 2023","$1,000,000",4,—,The monitoring feature of Flowsight Brewcast enables complete transparency by visualizing the whole brewing process.
Cometum,May 2020,"Munich, Bayern, Germany","Banking, Blockchain, Cryptocurrency,,,",1-10,2,"€450,000",Pre-Seed,"Aug 1, 2022","€250,000",—,—,Cometum´s mission is to become Europe´s No.1 digital private bank for affluents and HNW-Millennials.
Aiden,2024,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Property Management,",1-10,1,"€100,000",Pre-Seed,"May 16, 2024","€100,000",1,—,"Aiden uses AI to help property managers enhance customer service and automate requests, guiding them into AI-driven real estate."
ROADIA,Jan 2021,"Potsdam, Brandenburg, Germany","Analytics, Artificial Intelligence (AI),,",11-50,2,"$1,042,279",Pre-Seed,"Jul 29, 2021","$1,000,000",1,6,ROADIA is a potsdam based company that develops scalable road safety sensors
Globout,2023,"Berlin, Berlin, Germany","Information Technology, Social Network,",1-10,2,"€100,000",Pre-Seed,"Feb 19, 2024","€100,000",2,—,"Globout improves and multiplies real-world, in-person connections to combat social isolation and loneliness."
Human Labs,"Feb 22, 2022","Grünwald, Bayern, Germany",Artificial Intelligence (AI),1-10,1,"€1,300,000",Pre-Seed,"Apr 27, 2022","€1,300,000",2,5,Building the strongest communities.
Airtime,2022,"Berlin, Berlin, Germany",Software,1-10,1,"$500,000",Pre-Seed,"Dec 31, 2022","$500,000",2,—,Airtime helps product teams to make the right decision on what to build and how by providing in-depth user insights whenever needed.
heyvie,"May 31, 2021","Karlsruhe, Baden-Wurttemberg,","Machine Learning, Neuroscience,",1-10,1,"€435,000",Pre-Seed,"Jul 1, 2021","€435,000",2,—,Imagine a society in which every human could pursue whatever goal they want. Say hey to your new life. Say heyvie.
LifeTap,"Jan 7, 2021","Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,,",1-10,2,"$230,134",Pre-Seed,"Apr 5, 2022","$120,000",1,6,group recommendations for your leisure time
heyday,2020,"Berlin, Berlin, Germany",Software,11-50,1,"€1,000,000",Pre-Seed,"Mar 10, 2021","€1,000,000",3,—,heyday is an innovative software solution for the optimization and administration of employee benefits.
Onstruc,Oct 2020,"Berlin, Berlin, Germany","Apps, Construction, Document Management,,,",11-50,1,"€550,000",Pre-Seed,"Jan 1, 2021","€550,000",—,—,Onstruc developed software to simplify process documentation and supervision in the building industry.
zebrapass,"Jul 1, 2022","Berlin, Berlin, Germany","Blockchain, Information Technology,",1-10,4,"$292,027",Pre-Seed,"Jan 1, 2023","€89,000",3,—,Easily design your own custom workflows with actions & triggers between web2 and web3 apps with our blockchain data query know-how.
Carmino,2020,"Potsdam, Brandenburg, Germany","B2B, Data Collection and Labeling,,,,",1-10,1,"€350,000",Pre-Seed,"Nov 1, 2020","€350,000",—,—,Carmino provides a solution for automated data collection and carbon accounting for employees.
CREX Capital,2022,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Financial Services,,",1-10,2,"€100,000",Pre-Seed,"May 15, 2023","€100,000",2,—,CREX Capital is a Financial Service company that provides a regulatory-compliant process for commercial real estate financing transactions.
Coachinho,"Mar 2, 2021","Bonn, Nordrhein-Westfalen, Germany","Artificial Intelligence (AI), Computer Vision,,,,,,,",1-10,2,"€400,000",Pre-Seed,"Jul 1, 2022","€200,000",2,1,Our interactive Learning Game App provides digital Training with Soccer Pro's based on AI - real-time feedback based on Pros' motion data.
Enefty Technologies,2021,"Berlin, Berlin, Germany","Blockchain, Web3",1-10,2,"$400,000",Pre-Seed,"Oct 21, 2023","$200,000",3,—,Next generation loyalty memberships for brands powered by web3
PLAN3T,"May 20, 2020","Hamburg, Hamburg, Germany","Consumer, FinTech, Mobile Apps",1-10,1,"€750,000",Pre-Seed,"Nov 16, 2021","€750,000",3,1,PLAN3T is a fintech that helps consumers to save money and CO2 by connecting their bank account with our app.
Sapper Intelligence,2024,"Berlin, Berlin, Germany","Aerospace, Artificial Intelligence (AI),",—,1,"€100,000",Pre-Seed,"Aug 27, 2024","€100,000",1,—,Sapper Intelligence specializes in AI radar signal recognition and sensor fusion to find large hidden objects beneath soil and vegetation.
metacards,2022,"Berlin, Berlin, Germany","Blockchain, Cryptocurrency, eSports,,",1-10,1,"€700,000",Pre-Seed,"Mar 15, 2022","€700,000",1,—,Metacards creates a global online gamer capital market.
Halbestunde,Apr 2020,"Alt Tellin, Mecklenburg-Vorpommern,","EdTech, Music, Music Education",1-10,2,"€1,125,000",Pre-Seed,"Feb 25, 2022","€600,000",—,—,Halbestunde develops music-education mobile applications.
Forenamics,Apr 2020,"Cologne, Nordrhein-Westfalen,","Artificial Intelligence (AI), Enterprise Resource Planning (ERP),,,,,,",1-10,1,"€350,000",Pre-Seed,"May 1, 2021","€350,000",1,—,Forenamics is a AI demand forecasting service for food producers.
Sempi,2024,"Berlin, Berlin, Germany","Apps, E-Commerce, Information Technology",1-10,1,"€100,000",Pre-Seed,"Feb 10, 2024","€100,000",1,—,"Sempi simplifies selling valuable items, handling descriptions, pricing, postings, and buyers."
dreamteam,"Jul 26, 2021","Frankfurt, Hessen, Germany","Human Resources, Information Technology,,",1-10,1,"€600,000",Pre-Seed,"Apr 15, 2022","€600,000",2,—,SaaS-enabled B2B marketplace for teambuilding
CALIMA,"Apr 22, 2021","Berlin, Berlin, Germany","Commercial, Consulting, Public Safety,",1-10,1,"€325,000",Pre-Seed,"Apr 22, 2021","€325,000",—,1,CALIMA develops and distributes an emergency system for companies to protect lone workers in compliance with the law.
Pockethost,2021,"Plankstadt, Baden-Wurttemberg,","Apps, Gaming, Online Games,",1-10,1,"€375,000",Pre-Seed,"Sep 26, 2022","€375,000",—,—,Pockethost is a software development company that provides applications to create servers and plugins for MCPE games.
Moving Parts,2021,"Berlin, Berlin, Germany","Developer Tools, iOS, Software",1-10,1,"$125,000",Pre-Seed,"Aug 31, 2021","$125,000",5,—,Moving Parts is building a library of reusable UI components for iOS.
Balanced - the Relationship app,"Apr 16, 2021","Berlin, Berlin, Germany","Apps, Mental Health, Wellness",11-50,1,"€1,000,000",Pre-Seed,"Nov 15, 2021","€1,000,000",—,—,"Balanced Family provides knowledge, skills, motivation, and support to build, manage and enjoy relationships"
F&B Technologies GmbH,May 2021,"Hamburg, Hamburg, Germany","Coffee, Food and Beverage, Industrial Automation,",1-10,1,"€250,000",Pre-Seed,"Feb 1, 2022","€250,000",—,—,the moc is an IoT enabled company that brings automated and data driven specialty coffee to the streets.
Traindoo,2022,"Munich, Bayern, Germany","Health Care, Software",1-10,1,"€500,000",Pre-Seed,"Nov 17, 2022","€500,000",3,—,Traindoo offers a tool for online coaching and physiotherapy.
Optimo,2021,"Berlin, Berlin, Germany","B2B, EdTech, SaaS, Web Apps",1-10,1,"$120,000",Pre-Seed,"Apr 4, 2022","$120,000",1,—,Optimo is a B2B SaaS and EdTech company that provides blue-collar workers with peer-to-peer gamified learning.
Insightful,2021,"Berlin, Berlin, Germany","Digital Entertainment, EdTech,",1-10,1,"€170,000",Pre-Seed,"Sep 22, 2021","€170,000",1,1,Insightful is an application that provides educational videos.
bNear,Mar 2022,"Köln, Nordrhein-Westfalen, Germany",Software,1-10,2,"€700,000",Pre-Seed,"May 30, 2023",—,3,2,"SaaS, Enterprise Software, New Work"
Modoplus,2021,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Information Technology,",11-50,1,"€550,000",Pre-Seed,"Aug 19, 2022","€550,000",—,—,Modoplus is a cloud-based AI platform that helps real estate developers to plan in the early stage of development.
UseCodify,"Oct 11, 2022","Berlin, Berlin, Germany","Information Technology, Software",1-10,3,"$26,155",Pre-Seed,"Mar 21, 2024","€8,000",1,—,UseCodify is a digital business management that track record of brands scaling profitably based on high-performing strategies.
Kansi Solutions,"Aug 2, 2021","Namborn, Saarland, Germany","Cryptocurrency, Telecommunications",1-10,1,"$500,000",Pre-Seed,"Sep 15, 2021","$500,000",—,2,Decentralized Mining Solutions
meinAdmin,"Jan 1, 2020","Leipzig, Sachsen, Germany","Information Technology, Machine Learning,",11-50,1,"€280,000",Pre-Seed,"Dec 15, 2019","€280,000",1,—,meinAdmin provides AI driven managed services.
Pollinations,2021,"Berlin, Berlin, Germany","Blockchain, Cryptocurrency",1-10,1,"$100,000",Pre-Seed,"Apr 27, 2022","$100,000",1,1,Pollinations is the platform for creating AI tech developing tools.
Pillio,2022,"Berlin, Berlin, Germany","Electronic Health Record (EHR),,",1-10,1,"€100,000",Pre-Seed,"Mar 31, 2022","€100,000",1,—,Pillio simplifies healthcare by connecting providers through one platform to facilitate a patient-centric health experience.
Additive Scale,"Apr 1, 2021","Krailling, Bayern, Germany","3D Printing, Eyewear, Software",1-10,1,"€1,000,000",Pre-Seed,"Apr 1, 2021","€1,000,000",—,—,Our proprietary technology allows to produce 3D printed eyewear with mind-blowing quality from one to million units. Made in Germany.
Whal3s,2022,"Berlin, Berlin, Germany","Software, Web3",1-10,1,"$100,000",Pre-Seed,"Sep 21, 2022","$100,000",1,—,Whal3s offers a comprehensive solution for seamlessly integrating Web3 technology into one's website or app.
heronOS,"May 27, 2020","Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,",1-10,1,"€250,000",Pre-Seed,"Mar 1, 2021","€250,000",1,—,HeronOS is an information technology company.
MARA,"Mar 31, 2020","Karlsruhe, Baden-Wurttemberg,","Analytics, Artificial Intelligence (AI),,,,,,,,",1-10,1,"€147,000",Pre-Seed,"Apr 1, 2020","€147,000",1,—,"Market research automation, SaaS, NLP, AI, consumer review analysis"
PenPal,May 2022,"Berlin, Berlin, Germany","Apps, Communities, Dating, Social Network",1-10,1,"€150,000",Pre-Seed,"Sep 1, 2022","€150,000",—,—,PenPal is a social matching platform for building meaningful relationships with a physical touch.
Kern AI,"Nov 17, 2020","Eichwalde, Brandenburg, Germany","Artificial Intelligence (AI), Software",1-10,1,"€2,700,000",Pre-Seed,"Feb 16, 2023","€2,700,000",11,6,Kern AI is a data-centric platform to build natural language interfaces.
basenode.io,2021,"Berlin, Berlin, Germany","Accounting, Cryptocurrency",1-10,2,"€250,000",Pre-Seed,"Jan 10, 2022","€250,000",1,1,"SaaS, WebApp, Crypto Payments, Accounting"
BHK Cloud,2022,"Tamm, Baden-Wurttemberg, Germany","Cloud Computing, Cyber Security,,",1-10,3,"$1,100,000",Pre-Seed,"Sep 1, 2023","$150,000",1,—,"BHK Industry is an IT company that specializes in cloud computing, cybersecurity, software development, and advisory services."
PINSL,Mar 2021,"Munich, Bayern, Germany","Art, Blockchain, Metaverse, Software",11-50,1,"€717,000",Pre-Seed,"Dec 1, 2022","€717,000",—,—,"The most user-friendly, reputable, and compliant NFT platform to bridge the gap between Fine Art and the metaverse."
krowdz,2022,"Köln, Nordrhein-Westfalen, Germany","Blockchain, Cryptocurrency, Music",51-100,1,"$100,000",Pre-Seed,"Nov 3, 2022","$100,000",1,—,"Sony Music backed, Krowdz is a fan engagement platform ultimately owned by music artists and their fan communities (fan clubs 3.0)."
Field,"Apr 22, 2020","Hamburg, Hamburg, Germany","Enterprise Software, Product Management,,",1-10,1,"€500,000",Pre-Seed,"Mar 1, 2021","€500,000",—,—,"SaaS for product teams to establish context awareness, sensemaking and strategic thinking at all levels"
CERPRO,Jun 2023,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Cloud Computing,",1-10,1,"$20,000",Pre-Seed,"Jun 16, 2023","$20,000",1,—,"CERPRO helps reimagining the future of production using artificial intelligence, and cloud computing technologies."
PnPAI,"Apr 17, 2023","Munich, Bayern, Germany","Artificial Intelligence (AI), E-Commerce,,,",1-10,1,"$50,000",Pre-Seed,"Jun 1, 2023","$50,000",1,—,"AIaaS platform for small and medium businesses. Industry-focused solutions for ecommerce, retail, healthcare, finance, and more."
Horizon,"Oct 29, 2021","Mainz, Rheinland-Pfalz, Germany","B2B, Market Research, SaaS, Software",11-50,2,"$1,400,000",Pre-Seed,"Sep 13, 2022","$1,400,000",6,5,Horizon is a B2B SaaS company that offers behavioral consumer data.
dehaze,2023,"Munich, Bayern, Germany","Artificial Intelligence (AI), Health Care,",1-10,1,"$20,000",Pre-Seed,"Oct 9, 2023","$20,000",1,—,dehaze provides healthcare services by bringing medical AI models into clinical practice.
comoon.xyz,2022,"Berlin, Berlin, Germany","Analytics, Blockchain, Cryptocurrency,,",1-10,1,"€170,000",Pre-Seed,"Sep 30, 2022","€170,000",1,—,No-code analytics platform for web3 communities
Scripe,"Apr 26, 2024","Berlin, Berlin, Germany","Artificial Intelligence (AI), Generative AI,,,",1-10,1,—,Pre-Seed,"Dec 16, 2024",—,3,—,Scripe offer a LinkedIn workspace that generates content using an algorithm that adapts in real-time to platform algorithms and trends.
Safeverse,2021,"Ingolstadt, Bayern, Germany","Education, Metaverse, Training",1-10,1,"$1,000,000",Pre-Seed,"Sep 12, 2022","$1,000,000",4,—,"Safeverse is a training, Learning and Education to equip people for future jobs in the metaverse and real life."
VeeMind,Sep 2022,"Hamburg, Hamburg, Germany","Human Resources, SaaS",1-10,1,"€350,000",Pre-Seed,"Oct 1, 2022","€350,000",—,—,HR B2B SaaS leadership development platform
Phaseinvest,2023,"Berlin, Berlin, Germany","Finance, Financial Services, FinTech,",1-10,1,"€20,000",Pre-Seed,"Feb 20, 2023","€20,000",1,—,Phaseinvest is the developer of a financial platform designed to offer portfolio analysis services.
EuroLeaps,"Jun 1, 2023","Munich, Bayern, Germany","Artificial Intelligence (AI), Enterprise Software",1-10,1,"$200,000",Pre-Seed,"Jun 1, 2023","$200,000",—,—,EuroLeaps provides enterprise search AI solutions based on Large Language Models (LLMs).
EcoPhi Renewables Engineering GmbH,Jan 2020,"Karlsruhe, Baden-Wurttemberg,","Asset Management, Renewable Energy,,",1-10,1,"€200,000",Pre-Seed,"Nov 1, 2020","€200,000",1,—,"Remote Monitoring and Control, Asset Managment"
F-One,"Apr 24, 2021","Frankfurt, Hessen, Germany","Artificial Intelligence (AI), Robotic Process Automation (RPA)",1-10,1,"€200,000",Pre-Seed,"Feb 1, 2023","€200,000",—,—,AI Freelancer that can be hired like a person to perform office routines.
DropStar,2021,"Berlin, Berlin, Germany","Cryptocurrency, Marketplace,",1-10,1,"€170,000",Pre-Seed,"Nov 10, 2021","€170,000",1,—,DropStar is a social token platform and marketplace for curated music drops.
Carré Mobility,2020,"Berlin, Berlin, Germany","Ride Sharing, SaaS, Sharing Economy",1-10,1,"$20,000",Pre-Seed,"Apr 11, 2023","$20,000",1,—,"Carré Mobility offers shared mobility solutions for the housing industry, saving space and costs."
